#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOMTWCY143E66B33FF,To Minore Tis Avgis,Anastasia,AR68DVV1187FB36163,"studio, vocal",9,0.371621,0.089681,94.938,0.034006,0.673035,5.70E-05,0,4,263.06621,-12.294,0.324864,0.326591
SODTSHV130516E2DDB,Le Shavore,Mitsoura,AR68IJA1187B9A0BE9,"studio, vocal",4,0.353326,0.166565,112.319,0.049205,0.828156,0.00028,0,3,219.07955,-10.436,0.303271,0.32254
SOBHJCU12A58A7C6FB,Scott Walker's Fault,The Minus 5,ARX9XBA1187FB3976C,"studio, electric, vocal",2,0.727922,0.059553,175.312,0.031738,0.364725,0.00031,1,4,188.32,-6.697,0.326318,0.314735
SOUEOLU12A8C135E45,Traitor,Hateplow,ARLYCOF11F4C83C48F,"studio, electric, vocal",5,0.86061,0.127929,115.699,0.116003,0.079888,0.038562,0,4,223.59955,-12.348,0.049438,0.329229
SOJSSFB131C394C3E8,Dor-Lohmyn,Minhyriath,ARKJ8KR11C8A4155B8,"studio, electric, vocal",3,0.962283,0.117169,137.992,0.071705,0.000543,1.00E-06,0,4,223.90621,-4.852,0.06964,0.31734
SOKZLER12AB018C9BF,Det Skall Gå En Sång Genom Världen,Thory Bernhards,AR2HSF31187FB5722F,"acoustic, studio, vocal",7,0.223805,0.183376,85.423,0.032089,0.98298,2.00E-06,0,4,168.14621,-12.483,0.196468,0.334919
SOVJGDG13D0C6B5122,Travelin' Light,Rollin' in the Hay,ARK7FVA1187B9A93DA,"live, electric, vocal",4,0.690147,0.949293,127.766,0.060266,0.072682,0.068549,1,4,340.30621,-10.701,0.470082,0.349512
SOBZCMA1427C7CA16B,Offering (Epiphany),Marian Grace,ARXHYNF12A10043C63,"acoustic, studio, christmas, vocal",2,0.023295,0.113514,108.138,0.044258,0.977657,7.00E-06,0,5,83.60816,-17.525,0.248341,0.301808
SOHRCST13744D9BA16,Genesis,Memory Garden,ARIV5OO1187B993C59,"studio, electric, vocal",3,0.808229,0.051093,91.467,0.105946,0.007445,0.028936,0,4,269.35102,-6.798,0.310034,0.326483
SODZQWN1312A8A77A8,Kolysanka dla Rosemary,Simple Acoustic Trio,ARHEHM71187FB3CBAD,studio,5,0.174637,0.116248,84.925,0.033839,0.632415,0.830313,0,4,413.79955,-18.72,0.192709,0.331115
SOGYFLE13134396818,Shannon Maclaughlin,Kyle Van Band,AROGJAL12D5CD7A2D4,"studio, vocal",7,0.782004,0.103153,198.796,0.342676,0.648699,5.00E-06,1,3,211.27955,-7.03,0.635116,0.338336
SORIDSE13FD2CCEBE2,SEVENTH HEAVEN,POLYSICS,ARZY3UY1187B98F3A0,"studio, electric, vocal",6,0.959324,0.350226,169.935,0.253487,0.000314,0.00113,0,4,222.44671,-3.65,0.37027,0.342766
SOHRWVR142F16E623C,From up Here,One Event Worship Team,ARENXUL13B4DDB55AE,"studio, electric, vocal",5,0.609449,0.142677,159.938,0.028852,0.105678,1.00E-06,1,4,290.09288,-6.975,0.38035,0.305095
SOZKUVX131343A2CBA,Farewell the Ultimatum,PMtoday,AR8CTE111C8A422F5A,"studio, electric, vocal",7,0.976963,0.341976,128.103,0.152218,0.004527,8.00E-06,1,4,257.4624,-2.209,0.342276,0.333932
SOSYEYS13447A34021,Big Fuss,Antennas,AR7CJJK1187B9ADCA3,"studio, electric, vocal",4,0.751283,0.261104,122.92,0.071025,0.001365,0.000392,1,4,150.70621,-8.466,0.410809,0.344909
SOTZYWW14046CE11F4,TIGER,MO'SOME TONEBENDER,ARTJQ1I1187B9A38D9,"studio, electric, vocal",0,0.957517,0.375557,171.907,0.10505,0.072542,0.001684,1,4,228.59955,-4.298,0.08178,0.325867
SOZJDAM1372D0473E4,Collector of Remains,Brighter Death Now,ARJSP1Z1187B9B6485,"instrumental, studio",10,0.491859,0.111051,218.402,0.045184,0.846055,0.923619,0,4,275.85288,-16.91,0.062633,0.34584
SOBGZEA134EE36BF1F,God You Are Good,Sophia Jenkins,ARXHDVL133C82C8B8E,"studio, electric, vocal",2,0.655667,0.109537,161.32,0.034936,0.149211,0,1,3,258.99955,-5.186,0.532057,0.346568
SOAXVBG12A6D4F7798,Maul,Kolossale Jugend,ARD4YBJ1187FB41E85,"studio, electric, vocal",2,0.921992,0.0737,139.347,0.054027,0.039487,0.105814,1,4,224.47955,-4.421,0.396868,0.331657
SOAIJHO12AB0189B3A,I Don't Get It,The Model Rockets,ARXHTV31187B98F3EF,"studio, electric, vocal",2,0.921162,0.360207,178.605,0.04398,0.00014,0.00131,1,4,198.18621,-7.212,0.758414,0.317585
SOFBWAD1315CD4A858,The Price You'll Pay,A Call To Sincerity,ARJRYUY12DA0D139B3,"studio, electric, vocal",10,0.99408,0.133704,180.064,0.164907,0.023283,0.359162,0,4,199.43705,-1.838,0.123351,0.347329
SOCEQNI13443423605,Beautiful Diamond,DBrass,ARCIMZL1309DFD315F,"studio, vocal",11,0.442676,0.100313,183.358,0.02857,0.845168,0,0,4,283.50649,-7.267,0.319589,0.343936
SOKWYTL12AB017C2E3,"Telegram, Pts. 1-3 (Live)",Nazareth,AR1MPEI1187B9ABB20,,2,0.968266,0.848239,154.238,0.135316,0.781412,0.421942,0,4,349.28281,-4.643,0.189289,0.334157
SOHZOOO12A8C145511,Un'Esistenza,La Bottega dell'Arte,ARHAJH611C8A4219F1,"studio, electric, vocal",0,0.308323,0.054138,115.416,0.034154,0.08277,0.037048,1,4,359.91955,-15.115,0.071174,0.326901
SOJZRAU14722BB6BDF,Overture,David Hirschfelder,AR0ASLY1187B98E1A6,"studio, electric",2,0.583026,0.112223,121.394,0.053583,0.01468,0.531406,1,4,232.62621,-11.315,0.045067,0.338454
SOAIQOP13F6711833E,Y Ferch Yn Y Swyddfa,Datblygu,ARDCJWJ1187FB44F5C,"studio, vocal",9,0.962828,0.216807,75.864,0.055924,0.641104,0.235726,1,4,110.90395,-9.093,0.45422,0.304432
SOTVGLK141087B9289,Ride On Preacher,Smokin' Hogs,ARXWFBW13DC061C584,"studio, electric, vocal",9,0.727346,0.066634,103.889,0.039308,0.003326,0.00121,0,4,353.81288,-5.531,0.0854,0.339414
SORFOBP1315CD46515,The Music of Home,Anthony Perkins,ARFIXKP1187B98FB87,"acoustic, studio, vocal",3,0.179757,0.085907,88.751,0.031251,0.959425,0,1,4,217.59955,-15.826,0.325736,0.325274
SOBAQTF13FFC3FFEB7,Violet's Turning Violet,Carving Out Fiction,ARSJOLI12CC71081F7,"studio, electric, vocal",7,0.969296,0.118579,174.081,0.06163,0.015361,0,1,4,153.73016,-4.586,0.54316,0.348041
SOHOVQR131634AA4CE,Together With The Sunbeams,Bolot,ARTTIFG1241B9C8E0D,"studio, vocal",8,0.293749,0.10861,96.658,0.032909,0.671332,0.00662,1,4,354.22122,-12.764,0.06876,0.313442
SOVGSDC13CF6E4D5B0,Sermon to the Dead,Deströyer 666,ARR4RBH1187B9A0D13,"studio, electric",1,0.933903,0.024674,80.013,0.071347,6.00E-06,0.721058,1,3,303.99519,-4.607,0.164454,0.310644
SOGATGD12A8C133B52,Ordeal (featuring Jah Safe),Clyde Federal,ARX9S7P1187B99776F,"studio, vocal",2,0.556331,0.144715,133.994,0.079844,0.745918,0.013024,1,4,577.39955,-11.327,0.129914,0.344594
SOLBLXF13D8390817B,People of Your Kind,Beat Mark,ARRYHGY1312083EE7B,"studio, electric, vocal",5,0.864538,0.353144,129.909,0.05054,0.001502,0.008697,1,4,197.35955,-2.213,0.4155,0.315141
SOGZMWQ13134383F64,Sinistre,Fugu,ARGZR3O1187B98DB90,"studio, electric",5,0.763461,0.09669,157.894,0.038228,0.336787,0.845118,0,4,378.50621,-6.534,0.256628,0.340147
SOCPUXC12A8C13D6D1,Miles And Miles,The Marbles,ARH273Z1187FB52B57,"studio, electric, vocal",5,0.64963,0.138365,147.46,0.030147,0.003573,1.70E-05,1,4,297.86621,-5.832,0.105993,0.305504
SOOUZPZ13E99FEE754,Faro austral,Angelo Pierattini,ARTIEZA12FE085F6E5,"studio, vocal",0,0.295155,0.07937,105.895,0.033603,0.864054,0.364674,1,3,145.75129,-11.836,0.037616,0.322174
SOGJSMO13B46CA6C1F,Cast Out,Cross Stitched Eyes,ARAUUZV1241B9C94B5,"studio, electric, vocal",2,0.978435,0.101388,79.233,0.076221,0.000629,0.001007,1,1,87.02794,-6.246,0.452091,0.31123
SOHFXCP1311AFDD498,Aria,Mop Mop,ARXGGMK12086C143A9,"acoustic, studio",10,0.003803,0.099926,85.254,0.039921,0.99459,0.815975,1,3,86.11955,-26.225,0.086532,0.326809
SOBPLUT1366C08B010,The Ballad of Century Paul,Songs of Green Pheasant,ARG8ANY1187FB3FA58,studio,9,0.154703,0.105919,68.123,0.029273,0.56016,0.794977,0,4,247.97333,-16.115,0.069146,0.30698
SOCCVTV12DA59449A1,Maybe,A.D.D.,ARIXF2F1187FB52C9F,"studio, electric, vocal",1,0.82934,0.067736,174.068,0.044456,3.40E-05,2.20E-05,0,4,201.53288,-3.399,0.468234,0.31189
SOJAFDI130516E1262,Give Us The Day,Cipher,AR8C4201187B9B4D06,"studio, electric",2,0.896824,0.384133,136.28,0.102664,0.000214,0.433824,1,4,278.73188,-6.478,0.161304,0.315076
SOCFWZJ12AB0185116,My Prayer,Jimmy Dorsey,ARNMFYH1187FB58BE9,"acoustic, studio, vocal",4,0.130563,0.090306,66.215,0.03509,0.948271,0.003593,1,4,208.57333,-14.277,0.28659,0.333915
SONSDXA12AB018ED79,Fat City Jazzman Leaves a Deposit,Suppression,ARNSVOB11C8A421A87,electric,9,0.902308,0.797224,114.934,0.091345,0.194249,0.856567,1,4,113.77288,-10.551,0.138471,0.327664
SOEVPFK1311AFDEE77,When I Hold Her Near,Jack Stillwater,ARXUOOE1269FCCEE49,"acoustic, studio, vocal",5,0.231119,0.104921,76.872,0.032877,0.927269,0.001331,1,4,191.90621,-11.499,0.295311,0.349991
SOOTBHD142B3F5E0B6,Money in the Middle,Old Shoe,ARMYVDP12B644B6C89,"studio, electric, vocal",11,0.676744,0.064053,134.58,0.048045,0.089596,0.168195,1,4,290.77288,-6.363,0.742049,0.344194
