#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOXOPMT13134383F1A,Orient,MHK,ARNQASJ11F4C8410A7,"studio, electric",7,0.577657,0.112997,120.034,0.043963,0.03048,0.830842,1,4,186.11955,-8.886,0.198396,0.902056
SOJWVBX1313438B36A,"Morgens, Mittags",DAT Politics,ARCQ6BY1187B9AED89,"studio, electric",1,0.671743,0.076535,125.991,0.192865,0.010599,0.888931,1,4,209.86322,-9.01,0.449873,0.903898
SODJAVG13F684D2D3E,Love Attraction,Gayle Adams,ARNTZX01187B9916E3,"studio, electric, vocal",7,0.292398,0.087605,118.482,0.066594,0.001285,0,0,4,360.2166,-13.95,0.683053,0.911937
SOQNTVU12A3F1EC52A,Play Some D (dj Swett Remix),Brassy,ARBOC9C1187B98C93A,"remix, studio, electric",6,0.820844,0.072091,119.99,0.230046,0.003555,0.753011,0,4,244.82621,-2.329,0.51828,0.946828
SOFSLSP12A8C1351E7,Stonseee [Album Version],Kleeer,ARKHXV61187B993773,"studio, electric, vocal",4,0.502582,0.111923,107.457,0.104575,0.113812,0.287907,0,4,198.97288,-14.581,0.888535,0.927509
SOPILYD1311AFD7765,Les bonnes causes,Toma,AR1SSHK1187B99CC70,"studio, vocal",1,0.541099,0.07299,119.999,0.03951,0.622579,0.311911,0,4,210.17288,-8.348,0.875149,0.911575
SODWLRJ131343A0B66,Corrupted Man,Pablo Moses,ARRA7K41187FB45DAB,"studio, vocal",5,0.54881,0.093362,132.193,0.064693,0.469631,1.00E-06,0,4,157.23955,-14.01,0.98688,0.946433
SOGGEKU13D0ED44ACE,Going Back To Airlie,Keno,ARULMCJ1187B99E267,"studio, electric, vocal",10,0.677806,0.052955,100.035,0.205491,0.100596,0,0,4,224.62939,-7.405,0.890039,0.906214
SOURIKQ132C02BEEFC,Ain't Too Proud to Beg,K.C. White,AR7BS7O1187FB47D0C,"studio, electric, vocal",0,0.487953,0.052173,143.063,0.095266,0.001307,0.003035,1,4,363.65016,-8.728,0.962236,0.914535
SOEIVPL12A8AE46A52,Danca do Gringo,MC Gringo,ARSYSXJ1241B9C44B1,"studio, electric, vocal",7,0.860592,0.308281,129.017,0.106582,0.129741,0,1,4,183.54998,-3.849,0.889677,0.932832
SOFCXNG1313439FE4F,Fractured,Matias Enkovaara,ARMKJME12D5CD75F3A,"studio, electric",10,0.600948,0.110733,126.038,0.1063,0.215944,0.612569,0,4,431.9722,-10.204,0.213264,0.946192
SOPMSUB13B0C7AE884,Electrojhetto (Jeff Doubleu Remix),Talstrasse 3-5,ARIVUFB12CAE3A8CAF,"remix, studio, electric",11,0.747947,0.093952,126.011,0.058695,0.003726,0.480375,1,4,312.39537,-3.002,0.577223,0.902299
SORNCQA13AC9B068D9,Finally,MilkDrop,ARQTASV122C867483E,"studio, electric, vocal",9,0.383389,0.105198,88.038,0.360989,0.030988,0.000232,1,4,155.01288,-11.033,0.353123,0.905853
SODMVSW130516DEA72,"Adiós, Que Te Vaya Bien",Mario Pintor,ARSFRVE1269FCD6926,"studio, vocal",7,0.742491,0.337325,118.996,0.045639,0.801591,0.000195,1,4,191.54621,-7.817,0.931149,0.906777
SOMNWDN12AF72A30AD,Horse,Style of Eye,ARI25GY1187B9AC0A6,"studio, electric",11,0.722951,0.554711,127.988,0.214752,0.00291,0.855999,0,4,270.75787,-6.105,0.483515,0.917541
SOSSSDU14189EA4C22,Phenomenon (Raumakustik Remix),Ben Weber,ARDIJWZ1241B9C6A72,"remix, studio, electric, vocal",9,0.529024,0.319278,123.015,0.083987,0.000966,0.373969,0,4,382.4381,-9.995,0.184216,0.939683
SOXLDIV12A8C13497D,Benito va Batanga,Chupitos De Formentera,ARKAQYE123E29C1BFF,"studio, electric, vocal",7,0.736276,0.214647,127.964,0.238425,0.057917,0.00675,1,4,270.46621,-9.31,0.917884,0.925787
SOMWDBE14308558C5F,Bump Bum,Antwan,ARZQKNA12AF7D9C668,"studio, electric, vocal",4,0.489643,0.099245,94.001,0.305957,0.172799,6.00E-06,1,4,176.90785,-14.615,0.746439,0.929583
SOJUOEJ13C69E7796A,Get On Up,Kurtis Blow,AR60C3O1187FB46737,"studio, electric, vocal",10,0.551833,0.180977,101.17,0.146151,0.011685,4.80E-05,0,4,142.90621,-16.567,0.931094,0.90243
SOXIDEE136A99C2239,Hott,Yo Majesty,ARDHKG01187FB4CBDE,"studio, electric, vocal",1,0.740908,0.091531,132.943,0.19731,0.31918,9.00E-05,1,4,217.62621,-6.508,0.697638,0.921217
SOMHDZE14490C72AE2,Nandalal Debdulal,Swapan Basu,ARSIWHL11F50C4DEC1,"studio, vocal",2,0.497467,0.10907,106.344,0.395699,0.576489,0,1,4,312.55574,-15.046,0.808907,0.902559
