#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOKOVGS12AF72A9B12,Caribbean Girl,Jaicko,ARQXMFZ1242077E388,"studio, electric, vocal",4,0.546296,0.072216,144.972,0.057453,0.00244,0,0,4,216.78621,-7.618,0.961712,0.826515
SOCVDAS1313439408E,Time,Chi,ARLU5UB1187B98F1D6,"studio, electric, vocal",9,0.683112,0.095581,163.732,0.126223,0.189531,0,0,4,253.63955,-5.676,0.882748,0.804493
SOEUCSM13C19473EAB,Face of the Jungle,Jawoo,ARITYHC1269FB380AD,"studio, electric",10,0.71028,0.077158,123.035,0.068704,0.37985,0.861158,0,4,460.59057,-8.661,0.675523,0.813516
SOMUWHC12AB0182673,"Fum, Fum, Fum",Cranberry Singers,ARZLSXE11F4C83D749,"acoustic, studio, christmas, vocal",5,0.383392,0.165816,109.921,0.076496,0.993595,4.00E-06,1,4,121.57288,-13.379,0.820047,0.839166
SOMMTIA1393D721D2F,The End,Stickboy,ARWPHQB11F4C83B42B,"studio, vocal",4,0.579121,0.080527,120.062,0.031486,0.70388,0.000158,1,4,149.86404,-7.894,0.963532,0.827825
SOHHFVO1393D6E396F,The End,Stickboy,ARWPHQB11F4C83B42B,"studio, vocal",4,0.509014,0.081984,119.999,0.031513,0.826988,0,1,4,150.41261,-9.015,0.962703,0.80267
SOUUVRM130516E37E1,In the Company of Miss Ory (Ian Funk Dub),Measax,ARPCRGK1241B9C6228,"instrumental, remix, studio, electric",6,0.488106,0.093916,123.997,0.059977,0.183557,0.912123,0,4,471.77374,-11.213,0.802272,0.81015
SODMPFK1312A8A4134,Barrio De Jesús María,Las Jilguerillas,ARCUWBJ122988EE641,"studio, vocal",2,0.441831,0.104608,110.793,0.033407,0.673941,1.00E-06,1,4,141.93288,-9.823,0.950184,0.801559
SOIHVMY141B4CEB28B,The Takeoff (Pitched Down Vocal Edit),David Hasert,ARQOGBU1269FB35392,"studio, electric, vocal",8,0.31145,0.090617,118.002,0.049547,0.138359,0.136533,0,4,390.50816,-13.046,0.491982,0.834892
SOMZUSW1372906A9F7,TurboViolet (Original Mix),Comic Strips,ARMMOZH12F6A860C28,"studio, electric, vocal",11,0.664913,0.183596,128.005,0.092057,0.001378,0.006131,1,4,335.62458,-5.11,0.263501,0.815402
SOITWOA137A579E2E6,Mr Mandela Acoustic,Trenton & Free Radical,ARSYQDC1257509D589,"studio, electric, vocal",2,0.387114,0.390986,124.047,0.331929,0.229308,7.00E-06,1,4,226.91955,-8.983,0.694305,0.837102
SOBUSKI1372F621B96,Notice Me (Beat's n' Bass),Matthias Heilbronn,ARVZZO41187FB3FCE3,"instrumental, studio, electric",7,0.909536,0.097413,126.99,0.055332,2.70E-05,0.944227,1,4,306.14132,-7.793,0.213943,0.804792
SOVKBKQ13B0D75D73B,Festival,Poirier,ARUGWTO12420781144,"studio, electric",5,0.788269,0.068522,140.03,0.076785,0.012355,0.650929,1,4,200.42612,-7.442,0.375108,0.825033
SOUQZUQ13D0C27FF5A,Blowin' Up,Treasure Fingers,ARF5UVP1187B9AE715,"studio, electric, vocal",6,0.805112,0.089022,128.007,0.042907,0.000347,0.382267,0,4,399.37456,-5.827,0.530465,0.801126
SOMVLCN12AF72A2BFA,UK Okay,B Seiten Sound,ARVCDXL1187FB531FB,"studio, electric, vocal",2,0.723057,0.079049,96.017,0.172242,0.007207,3.80E-05,1,4,189.57288,-5.33,0.589716,0.848551
SOSHTCB13EAD326C59,Berghain 5 AM (Frankyeffe Remix),Steve Lorenz,ARXOFPO1241B9CC252,"remix, studio, electric",11,0.502567,0.094063,127.008,0.060444,0.000254,0.890925,1,4,405.09778,-12.118,0.113742,0.803914
SOKMEWJ1311AFD54FE,Rose-Marie Polka,Yvette Horner,ARHSS201187B98A8CC,studio,7,0.561813,0.058656,129.484,0.040324,0.547201,0.894396,0,4,126.87673,-8.504,0.860781,0.812478
SOZDRXT14570706327,She Only Wants (feat. Lindsey Kaye),Derek Luh,ARPIUTU1416F7A008E,"studio, electric, vocal",5,0.564842,0.033743,173.898,0.309941,0.031977,5.00E-06,0,4,167.36608,-8.738,0.623986,0.839451
SOTNVDX12AF72A2D4E,Mummy Trance,Bruce Moore,ARKPETJ1257509D371,"studio, childrens, vocal, electric",5,0.707274,0.085322,132.613,0.035832,0.091737,5.30E-05,0,4,146.57288,-9.914,0.881094,0.834338
