SODXGXG14517F326AA,"Lego House","Ed Sheeran",ARSDWSZ122ECCB706A,"studio, vocal",11,0.197591,0.188647,162.534,0.338622,0.769121,0,1,4,221.00993,-16.253,0.510133,0.55032,,,
SOVIUGB144056B1B88,"I See Fire","Ed Sheeran",ARSDWSZ122ECCB706A,"studio, vocal",10,0.08889,0.13928,76.06,0.059791,0.621938,1.0E-6,0,4,341.53601,-18.965,0.202571,0.597828,,,
SOGFIDD14815B77441,"All About That Bass","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",9,0.897579,0.115576,134.034,0.07603,0.074748,0,1,4,187.79955,-3.384,0.965385,0.801607,,,
SOWDYFX149437E3B58,"Lips Are Movin","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",7,0.824765,0.111133,139.091,0.046405,0.050601,1.0E-6,1,4,182.66667,-5.402,0.945033,0.774883,,,
SONUOHZ148385DDFB7,"Dear Future Husband","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",1,0.782212,0.317347,79.427,0.184858,0.374957,0,1,4,184.22667,-4.789,0.839346,0.654982,,,
SOTXLHC148385DDAD4,Title,"Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",5,0.753529,0.096469,89.998,0.096628,0.343036,3.0E-6,1,4,174.73333,-4.358,0.880514,0.779196,,,
SONNCZC148385DE6AE,"Close Your Eyes","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",7,0.521035,0.388962,93.97,0.038943,0.151761,0,1,3,220.26667,-5.748,0.342138,0.634135,,,
SOTCOZI149A70895F4,"I'll Be Home","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, christmas, vocal, electric",2,0.368902,0.107445,84.443,0.026736,0.32137,5.0E-6,1,4,219.45134,-7.817,0.321717,0.44402,,,
SOQDIBP134EE36BA83,"Leave a Kiss","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, vocal",0,0.418183,0.121857,169.793,0.031505,0.676571,0,1,4,208.82621,-4.789,0.249534,0.342486,,,
SOJDKZN134EE36BA7D,"Never Ever","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",0,0.554637,0.165082,170.145,0.117743,0.368058,0.00018,1,4,223.43955,-4.263,0.432071,0.644056,,,
SOSPQPE134EE36BA84,"Love Me More","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",3,0.638498,0.115768,134.864,0.055104,0.233354,1.0E-6,0,4,173.85288,-4.69,0.488461,0.684342,,,
SOIWIES134EE36BA7C,Window,"Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, vocal",9,0.718834,0.622076,93.108,0.045165,0.708254,0,1,4,211.51955,-4.447,0.545043,0.6793,,,
SOLRAQV134EE36BA85,"Pick Me Up","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",5,0.545637,0.159696,81.95,0.025753,0.102419,0,1,4,226.98621,-3.303,0.27299,0.553159,,,
SOCPDAO134EE36BA7F,"Something to Believe In","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",4,0.608517,0.339576,102.97,0.047861,0.3445,0,1,4,209.67955,-8.061,0.741932,0.684925,,,
SOQNBEY134EE36BA80,"This Love","Meghan Trainor",ARGUQXQ12D5CD78CB1,"studio, electric, vocal",4,0.767221,0.078944,105.026,0.041804,0.170256,0,1,4,210.82621,-3.315,0.767565,0.585185,,,
SOKLVGF14667FEF030,Summer,"Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",4,0.481326,0.056165,127.973,0.033542,0.011537,0.103417,0,4,246.83057,-15.9,0.598521,0.604117,,,
SOPCMOH14890BA7008,Blame,"Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",0,0.499763,0.125096,130.594,0.056624,0.055765,0.009197,0,4,179.04281,-16.005,0.452318,0.624807,,,
SOYPJDO1493CB33726,Outside,"Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",2,0.822848,0.322106,128.035,0.039371,0.212565,0,0,4,227.26667,-4.123,0.390712,0.646327,,,
SOOWELW147F5D6BC50,"I Need Your Love","Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",8,0.864937,0.259164,128.007,0.093715,0.000938,4.3E-5,1,4,269.98857,-4.529,0.187006,0.671495,,,
SOUBRSX14964DCF387,"Open Wide","Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",1,0.942931,0.525077,127.976,0.036311,0.069788,0,1,4,187.54667,-2.703,0.661673,0.759835,,,
SOKMOOG1493553DEBB,"Slow Acid","Calvin Harris",ARJRB241187FB556A3,studio,5,0.948764,0.152596,104.049,0.045046,0.501113,0.833395,0,4,219.69333,-4.31,0.088124,0.652509,,,
SOHZGEM13BE088D74A,"Sweet Nothing","Calvin Harris",ARJRB241187FB556A3,"studio, electric, vocal",8,0.572767,0.409573,130.538,0.109771,0.195763,0.000275,0,4,202.70975,-16.312,0.817954,0.574133,,,
SOSVDDA148C75662C6,"Steal My Girl","One Direction",ARZHFAY130708EE366,"studio, electric, vocal",10,0.774996,0.129477,77.179,0.036863,0.004544,0,0,4,228.13288,-5.963,0.542308,0.536536,,,
SOJQCRY1498E6220EC,"Night Changes","One Direction",ARZHFAY130708EE366,"studio, vocal",8,0.510165,0.114824,119.968,0.034271,0.847595,0,1,4,226.59955,-7.827,0.390296,0.67523,,,
