#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SOZTZTM1463D2FAB3C,Long Ago and Far Away,The Hi-Lo's,ARVUMUG11F4C84252E,"acoustic, studio, vocal",8,0.190624,0.149295,78.79,0.030935,0.942192,0.000151,1,4,143.65293,-14.67,0.16656,0.215077
SOQHHYA1315CD440E9,Long Ago And Far Away,The Hi-Lo's,ARVUMUG11F4C84252E,"acoustic, studio, vocal",8,0.179446,0.128786,80.314,0.027953,0.901039,6.00E-06,1,4,144.74404,-13.2,0.106939,0.203159
SOBKCPR12AF72A3318,Obsession-Compulsion,Sadist,AR0955R1187FB39B5D,"electric, vocal",8,0.996678,0.711495,144.377,0.181975,0.189381,0.044865,1,4,236.39955,-5.17,0.071132,0.248974
SOMSQZC1417B761170,Última Volta,Ecos Falsos,ARVWNPT1187FB4D8EE,"studio, electric, vocal",8,0.812297,0.095119,146.115,0.044646,0.050968,0.004451,0,4,256.61288,-3.995,0.47114,0.225623
SOEJMKL13167714051,Sooprize Package,Mean Things,ARXSGHB12FE085D4F1,"instrumental, studio, electric",2,0.992488,0.343059,96.016,0.08839,0.189493,0.978822,1,4,102.03955,-4.013,0.091146,0.236497
SOBJPCS1393CB198EA,Separate Ways,Worlds Apart,ARH8YF41187B9A6D22,"studio, electric, vocal",2,0.872862,0.076359,154.497,0.063801,0.000704,2.00E-06,0,3,267.91955,-4.956,0.191964,0.236047
SOBWKBY130516DA45C,I Am Losing,All Teeth,ARVTXNQ1257509CD66,"studio, electric",2,0.982585,0.549212,91.683,0.107689,0.002387,0.756628,1,4,90.99955,-3.938,0.120924,0.214949
SOFXQWI13D43221561,the Right Defense,Ambisonic,ARU2XDM1187B99A1E9,"instrumental, studio, electric",4,0.593946,0.155594,100.042,0.036604,0.307222,0.928512,0,4,213.29805,-9.759,0.439885,0.246696
SOXNIEI1370ABD286F,On The Burial Ground,Opprobrium,ARH8UO11187B9A0EFC,"studio, electric, vocal",1,0.9975,0.086403,128.743,0.198794,5.10E-05,0.035199,1,4,370.53497,-5.909,0.039276,0.238393
SOSKEZR1372F784015,Sycophant,Run With The Hunted,AREHVJP1241B9C7954,"instrumental, studio, electric",0,0.918241,0.377658,131.276,0.108446,0.205611,0.950874,1,4,109.50485,-5.627,0.159166,0.225602
SOFIGLW1313438E140,Fourteen,The Morningside,AR92JUB119B8669A42,"studio, electric",2,0.860205,0.246845,130.057,0.052837,0.002566,0.691964,0,4,375.63955,-5.603,0.208709,0.2288
SOXCSYJ13D0E50317D,Impious Genocide,Verminous,ARJF4DH1187B9A1583,"studio, electric, vocal",5,0.989595,0.361366,83.229,0.137929,0.000174,0.207486,1,4,205.82122,-5.107,0.039326,0.221063
