SOZXVBV1498B25E512,"Summer Love",Yseult,ARMFAYK146258FB657,"studio, electric, vocal",0,0.768843,0.146666,153.907,0.030118,0.189311,1.0E-6,1,4,181.06667,-6.523,0.54305,0.557865
SOZXRYQ146FE91429F,"Todo lo que Soy (a dueto con Alex Ubago)","Maite Perroni",ARECIQQ13833B91C5B,"studio, electric, vocal",11,0.831435,0.29754,125.98,0.03309,0.344397,0,0,4,229.38667,-4.531,0.823507,0.735354
SOZXPVZ147E81CDE2B,Promises,"Wiz Khalifa",ARN0GFV1187FB508CC,"studio, electric, vocal",4,0.586128,0.403141,140.637,0.050983,0.026524,0,1,5,210.69333,-5.718,0.246935,0.599015
SOZXMUX141CE74645E,"Do It Again (Prod. NA)",Kelela,ARHRYGS13C1C29D2CA,"studio, vocal",7,0.39516,0.101584,129.02,0.038082,0.761868,0.0158,1,4,180.81914,-9.459,0.155944,0.640861
SOZXHTO143F18EDB8B,"Hoy Tengo Ganas De Ti","Alejandro Fernández",ARUXOWB1187FB3F562,"studio, electric, vocal",6,0.312829,0.078002,123.329,0.051826,0.355246,0,1,4,296.89601,-13.821,0.32087,0.366577
SOZXFLF13F66DB9243,"Why So Serious?",SHINee,ARD4ZPF11A348F0ACB,"studio, electric, vocal",6,0.973657,0.167571,110.016,0.075865,0.115125,0,1,4,219.66322,-1.575,0.591161,0.659673
SOZXFIP146F95173B8,"The Big Bang (Mack & Jet Set Vega Radio Edit)","Katy Tiz",ARDIMWV13ABD1425C6,"studio, electric, vocal",7,0.939527,0.324656,126.024,0.062998,0.006672,0.000448,0,4,214.40404,-4.618,0.655983,0.643407
SOZXFDV13E907D7791,"Aston Martin Music","Rick Ross",ARNAIMI1187FB5733C,"studio, electric, vocal",1,0.386038,0.077528,86.022,0.281196,0.055711,1.0E-6,1,4,378.46354,-15.196,0.359728,0.71303
SOZXEPS147F5FE3466,"Secrets featuring B.o.B","Mary Lambert",ARFOZPY122ECCBA3FD,"studio, electric, vocal",0,0.629613,0.240343,93.22,0.078639,0.044602,1.0E-6,1,4,233.11288,-5.623,0.797315,0.789403
SOZXAVZ143F5638C89,"Sunlo Zara Video | Ekk Deewana Tha | Prateik","A.R. Rahman",AR5PRZX1187FB3D02F,"electric, vocal",9,0.804819,0.723058,138.591,0.048868,0.313233,4.0E-6,1,4,241.18404,-9.558,0.84999,0.659015
SOZWWOO148759EF34E,"Aš žiūriu į Tave, Pasauli",Sel,ARCAOFX1187B98A4C9,"studio, electric, vocal",7,0.411236,0.111459,119.999,0.036713,0.135633,0.001153,1,4,295.01451,-14.367,0.642504,0.809685
SOZWWOO13D423F60D8,"Ice Box",MiM0SA,ARDQCVR132D578F8A2,"studio, electric",1,0.503738,0.057908,149.929,0.06048,0.000546,0.678621,1,4,219.27955,-6.539,0.366545,0.737145
SOZWWGL1498C2D653F,"HMP Shaun William Ryder",Mogwai,ARZ4XS71187B9AEF25,"instrumental, studio, electric",11,0.468672,0.083385,144.068,0.039962,0.137132,0.932814,0,4,312.72027,-11.329,0.137404,0.464873
SOZWRSO1466D9FACB2,"5 BC Star (Renegades Of Jazz Remix)",Kovacs,ARAHVXU11E2835E31D,"remix, studio, electric",2,0.456917,0.162584,117.997,0.029615,0.043682,0.882509,1,4,263.59955,-10.708,0.090517,0.604339
SOZWPNV142D1AEBC27,"Dream Team","Jeff Bernat",ARXUQYL142BBA3C6FC,"studio, electric, vocal",5,0.377904,0.095679,111.959,0.059475,0.332049,1.2E-5,0,3,279.37456,-6.901,0.437381,0.874308
SOZWPBJ147FC9F2925,"Live It Up",360,ARLGT1J1187B9AAE17,"studio, electric, vocal",8,0.675319,0.169376,111.076,0.068245,0.141373,0,1,4,217.61497,-5.958,0.179852,0.676847
SOZWOUA133F1461537,"YI RAN AI NI",王力宏,AR9PMQP1187B99AD79,"studio, vocal",9,0.380411,0.12692,147.968,0.060232,0.857377,0,1,4,244.59955,-10.131,0.383444,0.612714
SOZWNHO1417B271B99,"Pidao ta Kimata",Stavento,ARFJXND1187B993890,"live, electric, vocal",0,0.866352,0.943636,95.884,0.337169,0.138738,0,1,4,77.86621,-5.178,0.236397,0.368243
SOZWLDY1452353DF64,20.000,"Anders Nilsen",ARHNBZI14054F88D27,"studio, electric, vocal",0,0.958455,0.218716,136.094,0.099024,0.058221,0.001823,0,4,201.69991,-4.017,0.156139,0.562339
SOZWIWL140ABB472A3,"Talking Dreams",Echosmith,ARXDZWY137E74B02FB,"studio, electric, vocal",4,0.87634,0.18324,155.072,0.046054,7.0E-5,0.023831,1,4,189.57333,-5.561,0.455106,0.4182
SOZWEAX130516E01C7,"Wedding Dress",태양,ARLINBE12496DAB806,"studio, electric, vocal",0,0.675182,0.13147,133.952,0.037016,0.125723,0,1,4,242.41288,-4.792,0.659834,0.725621
SOZWCMN13CF483FE5C,"Whisper (Radio Edit)","Alex Velea",ARJECVX1338583529E,"studio, electric, vocal",3,0.906415,0.425459,128.018,0.049221,0.002846,0.000857,1,4,221.41587,-6.252,0.549487,0.6264
SOZVWUU147E98F06D3,"Lights On","FKA twigs",ARVDUQU14035F197BB,"studio, electric, vocal",11,0.45694,0.551659,149.989,0.076742,0.078161,0.00017,0,4,264.35995,-10.778,0.286392,0.405901
SOZVSRS1498E61E0B3,18,"One Direction",ARZHFAY130708EE366,"studio, electric, vocal",6,0.56999,0.117409,124.062,0.030796,0.209822,0,0,4,248.35955,-7.809,0.247629,0.676083
SOZVSRS1498E61E0B3,18,"One Direction",ARZHFAY130708EE366,"studio, electric, vocal",6,0.56999,0.117409,124.062,0.030796,0.209822,0,0,4,248.35955,-7.809,0.247629,0.676083
SOZVSIP13C19ED6DE6,"Madhuram Gayathi","Shreya Ghoshal",ARFOKIY11F50C4C27E,"studio, vocal",7,0.585478,0.087394,173.588,0.068709,0.58437,0,0,4,257.71955,-7.438,0.346611,0.359648
SOZVOVA14942226EE8,"Put Your Hands Up (Original Extended Mix)",Rebel,ARXPGY51187B9B3287,"remix, studio, electric",10,0.986552,0.450243,127.994,0.048087,0.000566,0.710917,1,4,268.59374,-2.469,0.617094,0.682423
SOZVMMI14373B6B09E,Complicated,"Avril Lavigne",ARY53RR1187B9AE485,"studio, electric, vocal",5,0.67196,0.352707,77.981,0.068154,0.098254,1.0E-6,1,4,252.19156,-10.097,0.551295,0.547853
SOZVKWH12AB0187AB8,Victory,Soprano,ARI9DDK1187FB4FD68,"studio, vocal",0,0.724155,0.103483,119.969,0.134502,0.55998,0,0,4,263.95955,-7.784,0.432687,0.497152
SOZVGMH13167714D4D,"I Will Rise","Chris Tomlin",ARER3QP1187B9A8DC4,"studio, electric, vocal",11,0.319165,0.084058,82.03,0.028808,0.371504,0,1,4,300.37288,-7.132,0.269887,0.436745
SOZVFCR146EC89F208,"Hold On",SBTRKT,AROMQSM12AA0D8E02B,"studio, electric, vocal",0,0.416207,0.104142,131.293,0.041027,0.288915,0.335121,1,4,205.07215,-9.65,0.430718,0.732209
SOZVCZP14744BFFFC3,Streets,Kensington,ARJKJKP11E2835E6D3,"studio, electric, vocal",6,0.6571,0.153732,168.287,0.037667,0.000463,0.007111,1,4,185.17288,-8.906,0.498096,0.334678
SOZVBOK1492F98BAAB,"Prayer in C","Lilly Wood & The Prick",AREOJFX12B364E9FD1,"studio, vocal",9,0.309574,0.082453,93.996,0.028414,0.458588,5.2E-5,0,4,157.57333,-5.77,0.291452,0.770085
SOZVBDI1485B804C06,"Places To Go",Anouk,ARMLOSJ1187B98B08C,"studio, electric, vocal",0,0.686673,0.141691,94.984,0.022972,0.00991,5.0E-6,0,4,224.95796,-4.955,0.176792,0.591578
SOZVADD13EAA927775,"Wakanda (Radio Edit)","Dimitri Vegas and Like Mike",ARXBNMD12496DAB7D2,"studio, electric",5,0.969877,0.512233,130.016,0.075682,0.000333,0.673582,0,4,182.76902,-2.077,0.226939,0.580501
SOZUTJP1372C36BAD4,"OUT OF TIME",Blur,ARKVITV1187B9AE854,"studio, electric",0,0.147962,0.42069,138.82,0.034968,0.103869,0.849955,1,4,218.17424,-19.889,0.385117,0.519983
SOZUSNR14373B7946E,Karton,"Mark Forster",ARKMCGL13586C70E3E,"studio, electric, vocal",10,0.542077,0.103761,83.109,0.043896,0.112078,7.0E-6,1,4,200.92757,-11.014,0.640122,0.349835
SOZUQWG14570643647,"Alt Dudak","Hande Yener",ARHEQS81187FB4010B,"studio, electric, vocal",7,0.794088,0.367836,128.003,0.062479,0.068006,0,1,4,274.25524,-6.677,0.828728,0.73755
